ChangeBodyEmotion(Myo -e Left_Uncomfortable)

Myo at 0 "...Ah."

Myo at 0 "Well, aren't you a smart one? That <i>is</i> General Lien over there."

Myo at 0 "Not that I have any plans of working with him myself. I have other men for that."

Myo at 0 "Why do you ask? Are you planning to talk to him?"

ChangeBodyEmotion(Ahlai -b Right_Default_Body -e Right_Conflicted)

Ahlai as <playerName> at 1 "Not necessarily, he's just..."

Ahlai as <playerName> at 1 "<i>He's just someone I remember from when Tayabac was invaded...</i>"

ChangeBodyEmotion(Myo -e Left_Concerned)

Myo at 0 "Hmm, on second thought. Maybe you shouldn't answer that question. I apologize."

ChangeBodyEmotion(Ahlai -e Right_Surprised)

Ahlai as <playerName> at 1 "...?"

ChangeBodyEmotion(Myo -e Left_ApologeticSmile)

Myo at 0 "Call it a guess, but you seem like you do not wish to talk about your business with the General?"

ChangeBodyEmotion(Ahlai -e Right_Conflicted)

Ahlai as <playerName> at 1 "<i>He seems like he would understand, but... is now the time?</i>"

choice in 1
{
	- <i>He might be able to do something about it.</i>
		$Vengeance += 1

		Ahlai as <playerName> at 1 "<i>I need to tell him about the invasion. He might be able to help me do something about General Lien.</i>"

		ChangeBodyEmotion(Ahlai -e Right_Stern)
		ChangeBodyEmotion(Myo -e Left_Thought)

		Ahlai as <playerName> at 1 "Well, Lien <i>is</i> part of the army, yes?"

		Ahlai as <playerName> at 1 "Let's just say I was there when the military invaded the Tayabac region."

		ChangeBodyEmotion(Ahlai -e Right_Conflicted)

		Ahlai as <playerName> at 1 "I want answers, but... it has been ten years. I do not think they will come easily. Least of all from the current General."

		ChangeBodyEmotion(Myo -e Left_TightenedSmile)

		Myo at 0 "...!"

		Myo at 0 "...Were you from Tayabac?"

		Ahlai as <playerName> at 1 "Yes, actually."

		Myo at 0 "It's no wonder you felt the need to tell me this, then."

		Myo at 0 "<playerName>, please-take it from me. Like Tayabac, Agon Province has a few ancestral lands that we try our best to protect, but..."

		Myo at 0 "People like Sir Lien aren't going to change their minds about this. Barely anyone in Seiysla's government will change their minds."
		
		Myo at 0 "At least not in the current state the Empire is at now."

		Myo at 0 "...But, you are free to talk to me about this, whenever you wish. Whatever helps you, <playerName>."

		Ahlai as <playerName> at 1 "...But, why would you?"

		ChangeBodyEmotion(Myo -e Left_ApologeticSmile)

		Myo at 0 "Will anyone else?"

		Ahlai as <playerName> at 1 "...I'll remember that, then. Thank you."

	- <i>It's a difficult conversation...</i>
		$Justice += 1

		Ahlai as <playerName> at 1 "<i>Oh, I wish I could just tell him. But I don't have enough information, and it might not be wise to reveal so much to a governor...</i>"

		ChangeBodyEmotion(Myo -e Left_Thought)
		ChangeBodyEmotion(Ahlai -e Right_Stern)

		Ahlai as <playerName> at 1 "Well, General Lien just so happens to be the leader of the army now, correct?"

		Myo at 0 "Correct, yes."

		Ahlai as <playerName> at 1 "And the Seiyslan Empire obviously has its flaws, like anyone can point out..."

		Myo at 0 "Yes, yes..."

		ChangeBodyEmotion(Ahlai -e Right_ApologeticSmile)

		Ahlai as <playerName> at 1 "I really appreciate how clearly you show your concern."

		Ahlai as <playerName> at 1 "But you are right, I can't help but want answers from the General about certain questions I have regarding the Tayabac region. Especially about the invasion."

		ChangeBodyEmotion(Ahlai -e Right_Conflicted)

		Ahlai as <playerName> at 1 "It's just that... given everything, it is a difficult conversation to have. I am not surprised."

		ChangeBodyEmotion(Myo -e Left_Concerned)

		Myo at 0 "What kind of conversation? Should I be looking into this as well, or is this outside of my capacities as...?"

		ChangeBodyEmotion(Ahlai -e Right_ApologeticSmile)

		Ahlai as <playerName> at 1 "We can save this for another day. You want to meet me again, don't you?"

		ChangeBodyEmotion(Myo -e Left_ApologeticSmile)

		Myo at 0 "...Ah, so this is how my own words are used against me..."

		ChangeBodyEmotion(Myo -e Left_Pleased)

		Myo at 0 "Then if that's the case, you don't have to go to Sir Lien if you don't want to. You do seem very pleased to be seated here next to me."

		ChangeBodyEmotion(Ahlai -e Right_Smile)

		Ahlai as <playerName> at 1 "At the very least, I'm pleased to have another round, too. You understand, yes?"

		Myo at 0 "As always, <playerName>..."

	- <i>I shouldn't tell him about it yet.</i>
		$Peace += 1

		Ahlai as <playerName> at 1 "<i>I shouldn't tell him. Not yet. Maybe, not ever... Either way, it will just dampen the mood tonight if I open up to him about this.</i>"

		ChangeBodyEmotion(Ahlai -b Right_Question_Body -e Right_Question)
		ChangeBodyEmotion(Myo -e Left_Thought)

		Ahlai as <playerName> at 1 "Oh, well... It is rare to see anyone from the Kingdom stay in Kuchai Town for so long."

		Ahlai as <playerName> at 1 "But, if I <i>were</i> to approach General Lien, what should I expect?"

		Ahlai as <playerName> at 1 "Between you two, you seem a lot more open to talking with civilians and common people..."

		ChangeBodyEmotion(Myo -e Left_Chuckle)

		Myo at 0 "Psh, I appreciate the recognition from you, <playerName>!"

		ChangeBodyEmotion(Myo -e Left_Stern)

		Myo at 0 "Don't take this as my speaking against General Lien, but he and I have <i>always</i> clashed in the way we carry out our work as civil servants."

		ChangeBodyEmotion(Myo -e Left_Annoyed)

		Myo at 0 "Do <i>I</i> have a problem with that? Of course not! Any <i>healthy</i> competition in the Empire is exactly what ensures a balanced way of ruling over it. Or the Empire's provinces, whichever works."

		ChangeBodyEmotion(Myo -e Left_Stern)

		Myo at 0 "However, Sir Lien seems that he isn't one for that healthy dose of discourse. Including perspectives like mine would just get in the way of simply directing orders and having everyone do as he says."

		Ahlai as <playerName> at 1 "Does he really hold that much power in the kingdom? To just... compel people to do as he says?"

